Date;Price;Open;High;Low;Vol.;Change %;;;
45385;659630;65.443.6;66.844.8;64.559.0;88460.0;0.008;;;
45384;654392;69.662.7;69.673.0;64.628.4;152870.0;-0.060700000000000004;;;
45383;696644;71.329.3;71.329.3;68.175.9;94050.0;-0.023399999999999997;;;
45382;713320;69.608.5;71.367.5;69.576.6;42450.0;0.024700000000000003;;;
45381;696115;69.872.3;70.321.2;69.564.9;29870.0;-0.0037;;;
45380;698717;70.766.7;70.907.0;69.090.9;58990.0;-0.0126;;;
45379;707621;69.449.4;71.542.5;68.956.9;72490.0;0.019;;;
45378;694424;69.999.2;71.670.8;68.428.6;112880.0;-0.008;;;
45377;699993;69.896.3;71.490.7;69.366.4;90980.0;0.0015;;;
45376;698920;67.216.4;71.118.8;66.395.0;124720.0;0.039900000000000005;;;
45375;672119;64.036.5;67.587.8;63.812.9;65590.0;0.0496;;;
45374;640378;63.785.6;65.972.4;63.074.9;35110.0;0.004;;;
45373;637855;65.501.5;66.633.3;62.328.3;72430.0;-0.0262;;;
45372;655038;67.860.0;68.161.7;64.616.1;75260.0;-0.0346;;;
45371;678540;62.046.8;68.029.5;60.850.9;133530.0;0.0935;;;
45370;620500;67.594.1;68.099.6;61.560.6;148080.0;-0.08199999999999999;;;
45369;675941;68.389.7;68.920.1;66.601.4;78070.0;-0.011699999999999999;;;
45368;683912;65.314.2;68.857.7;64.605.5;66070.0;0.0471;;;
45367;653142;69.456.5;70.037.0;64.971.0;75820.0;-0.059699999999999996;;;
45366;694637;71.387.1;72.398.1;65.765.6;148590.0;-0.0269;;;
45365;713875;73.066.7;73.740.9;68.717.2;109430.0;-0.023;;;
45364;730663;71.461.9;73.623.5;71.338.4;77180.0;0.0223;;;
45363;714702;72.099.1;72.916.7;68.845.6;105090.0;-0.0087;;;
45362;720991;68.964.7;72.771.5;67.452.8;114720.0;0.0454;;;
45361;689648;68.360.7;69.905.3;68.165.0;53490.0;0.0088;;;
45360;683665;68.178.5;68.576.9;67.923.9;30710.0;0.0029;;;
45359;681720;66.854.4;69.904.0;66.170.7;112670.0;0.0197;;;
45358;668553;66.074.6;67.985.5;65.602.6;77470.0;0.011699999999999999;;;
45357;660804;63.794.7;67.604.9;62.848.7;117910.0;0.0359;;;
45356;637926;68.273.1;69.063.1;60.138.2;207600.0;-0.06559999999999999;;;
45355;682701;63.135.8;68.495.1;62.746.8;13.086.000.000.000.000;0.08130000000000001;;;
45354;631358;61.955.6;63.227.3;61.399.4;38010.0;0.0184;;;
45353;619945;62.397.7;62.446.3;61.621.9;33800.0;-0.006500000000000001;;;
45352;623977;61.157.3;63.147.3;60.790.9;74960.0;0.020099999999999996;;;
45351;611693;62.467.1;63.653.4;60.512.5;119290.0;-0.0208;;;
45350;624676;57.048.7;63.915.3;56.704.9;173640.0;0.09480000000000001;;;
45349;570562;54.491.1;57.555.2;54.464.0;100480.0;0.047;;;
45348;544951;51.722.7;54.899.1;50.925.2;78050.0;0.0536;;;
45347;517227;51.572.1;51.952.0;51.299.0;23610.0;0.0029;;;
45346;515716;50.739.6;51.689.9;50.592.0;20990.0;0.016399999999999998;;;
45345;507405;51.320.6;51.532.5;50.537.6;43270.0;-0.0113;;;
45344;513204;51.850.2;52.015.8;50.947.3;50270.0;-0.0104;;;
45343;518582;52.263.5;52.367.3;50.676.9;59020.0;-0.0078000000000000005;;;
45342;522635;51.783.1;52.936.8;50.801.8;68100.0;0.009300000000000001;;;
45341;517836;52.119.6;52.484.8;51.694.2;36730.0;-0.0064;;;
45340;521175;51.646.0;52.350.3;51.199.6;26890.0;0.0091;;;
45339;516460;52.134.2;52.175.5;50.652.3;32.450.000.000.000.000;-0.009399999999999999;;;
45338;521342;51.901.4;52.556.7;51.612.6;52860.0;0.0045000000000000005;;;
45337;519013;51.805.2;52.819.4;51.327.5;74720.0;0.0023;;;
45336;517824;49.708.6;52.010.7;49.263.8;80350.0;0.0416;;;
45335;497160;49.941.0;50.326.6;48.398.3;78510.0;-0.0045000000000000005;;;
45334;499413;48.280.2;50.277.3;47.729.9;81850.0;0.0345;;;
45333;482773;47.759.3;48.531.6;47.590.2;36500.0;0.0109;;;
45332;477582;47.128.0;48.149.0;46.875.0;31200.0;0.0134;;;
45331;471275;45.293.3;48.118.8;45.254.2;98110.0;0.0405;;;
45330;452933;44.346.2;45.579.2;44.336.4;66380.0;0.0215;;;
45329;443398;43.088.4;44.367.9;42.783.5;48570.0;0.0291;;;
45328;430877;42.697.6;43.375.5;42.566.8;33320.0;0.0091;;;
45327;426972;42.581.4;43.532.2;42.272.5;39260.0;0.0027;;;
45326;425814;43.006.2;43.113.2;42.379.4;20330.0;-0.009899999999999999;;;
45325;430057;43.194.7;43.370.4;42.882.0;14570.0;-0.0044;;;
45324;431947;43.083.7;43.459.3;42.596.3;42650.0;0.0026;;;
45323;430814;42.580.1;43.263.1;41.890.5;47690.0;0.0118;;;
45322;425805;42.946.2;43.739.7;42.315.4;56480.0;-0.0085;;;
45321;429462;43.303.3;43.817.9;42.702.9;55130.0;-0.008199999999999999;;;
45320;432998;42.031.4;43.305.6;41.824.7;45230.0;0.0302;;;
45319;420307;42.121.3;42.817.1;41.649.0;32530.0;-0.0021;;;
45318;421209;41.811.5;42.191.8;41.413.0;20460.0;0.0074;;;
45317;418113;39.942.0;42.214.8;39.831.2;69470.0;0.047;;;
45316;399357;40.085.1;40.285.8;39.546.3;46300.0;-0.0037;;;
45315;400860;39.891.3;40.535.2;39.510.0;58640.0;0.0049;;;
45314;398888;39.555.0;40.159.4;38.546.9;82670.0;0.0084;;;
