Date,Price,Open,High,Low,Vol,Change
45356,63.792,68.273,69.63,60.138,207.60,-6.56%
45355,68.270,63.135,68.495,62.746,130.86,8.13%
45354,63.135,61.955,63.227,61.399,38.1,1.84%
45353,61.994,62.397,62.446,61.621,33.80,-0.65%
45352,62.397,61.157,63.147,60.790,74.96,2.01%
45351,61.169,62.467,63.653,60.512,119.29,-2.08%
45350,62.467,57.48,63.915,56.704,173.64,9.48%
45349,57.56,54.491,57.555,54.464,100.48,4.70%
45348,54.495,51.722,54.899,50.925,78.5,5.36%
45347,51.722,51.572,51.952,51.299,23.61,0.29%
45346,51.571,50.739,51.689,50.592,20.99,1.64%
45345,50.740,51.320,51.532,50.537,43.27,-1.13%
45344,51.320,51.850,52.15,50.947,50.27,-1.04%
45343,51.858,52.263,52.367,50.676,59.2,-0.78%
45342,52.263,51.783,52.936,50.801,68.10,0.93%
45341,51.783,52.119,52.484,51.694,36.73,-0.64%
45340,52.117,51.646,52.350,51.199,26.89,0.91%
45339,51.646,52.134,52.175,50.652,32.45,-0.94%
45338,52.134,51.901,52.556,51.612,52.86,0.45%
45337,51.901,51.805,52.819,51.327,74.72,0.23%
45336,51.782,49.708,52.10,49.263,80.35,4.16%
45335,49.716,49.941,50.326,48.398,78.51,-0.45%
45334,49.941,48.280,50.277,47.729,81.85,3.45%
45333,48.277,47.759,48.531,47.590,36.50,1.09%
45332,47.758,47.128,48.149,46.875,31.20,1.34%
45331,47.127,45.293,48.118,45.254,98.11,4.05%
45330,45.293,44.346,45.579,44.336,66.38,2.15%
45329,44.339,43.88,44.367,42.783,48.57,2.91%
45328,43.87,42.697,43.375,42.566,33.32,0.91%
45327,42.697,42.581,43.532,42.272,39.26,0.27%
45326,42.581,43.6,43.113,42.379,20.33,-0.99%
45325,43.5,43.194,43.370,42.882,14.57,-0.44%
45324,43.194,43.83,43.459,42.596,42.65,0.26%
45323,43.81,42.580,43.263,41.890,47.69,1.18%
45322,42.580,42.946,43.739,42.315,56.48,-0.85%
45321,42.946,43.303,43.817,42.702,55.13,-0.82%
45320,43.299,42.31,43.305,41.824,45.23,3.02%
45319,42.30,42.121,42.817,41.649,32.53,-0.21%
45318,42.120,41.811,42.191,41.413,20.46,0.74%
45317,41.811,39.942,42.214,39.831,69.47,4.70%
45316,39.935,40.85,40.285,39.546,46.30,-0.37%
45315,40.86,39.891,40.535,39.510,58.64,0.49%
45314,39.888,39.555,40.159,38.546,82.67,0.84%
45313,39.556,41.581,41.684,39.468,85.10,-4.87%
45312,41.583,41.695,41.878,41.504,16.11,-0.27%
45311,41.695,41.647,41.858,41.449,22.27,0.11%
45310,41.648,41.293,42.164,40.305,72.64,0.86%
45309,41.292,42.763,42.908,40.682,70.35,-3.45%
45308,42.768,43.139,43.192,42.211,50.44,-0.87%
45307,43.145,42.515,43.563,42.93,63.93,1.49%
45306,42.510,41.747,43.348,41.719,52.8,1.83%
