Date,Price,Open,High,Low,Vol.,Change %
45386,684965,659684,692388,650963,100300.0,0.0384
45385,659630,654436,668448,645590,88460.0,0.008
45384,654392,696627,696730,646284,152870.0,-0.060700000000000004
45383,696644,713293,713293,681759,94050.0,-0.023399999999999997
45382,713320,696085,713675,695766,42450.0,0.024700000000000003
45381,696115,698723,703212,695649,29870.0,-0.0037
45380,698717,707667,709070,690909,58990.0,-0.0126
45379,707621,694494,715425,689569,72490.0,0.019
45378,694424,699992,716708,684286,112880.0,-0.008
45377,699993,698963,714907,693664,90980.0,0.0015
45376,698920,672164,711188,663950,124720.0,0.039900000000000005
45375,672119,640365,675878,638129,65590.0,0.0496
45374,640378,637856,659724,630749,35110.0,0.004
45373,637855,655015,666333,623283,72430.0,-0.0262
45372,655038,678600,681617,646161,75260.0,-0.0346
45371,678540,620468,680295,608509,133530.0,0.0935
45370,620500,675941,680996,615606,148080.0,-0.08199999999999999
45369,675941,683897,689201,666014,78070.0,-0.011699999999999999
45368,683912,653142,688577,646055,66070.0,0.0471
45367,653142,694565,700370,649710,75820.0,-0.059699999999999996
45366,694637,713871,723981,657656,148590.0,-0.0269
45365,713875,730667,737409,687172,109430.0,-0.023
45364,730663,714619,736235,713384,77180.0,0.0223
45363,714702,720991,729167,688456,105090.0,-0.0087
45362,720991,689647,727715,674528,114720.0,0.0454
45361,689648,683607,699053,681650,53490.0,0.0088
45360,683665,681785,685769,679239,30710.0,0.0029
45359,681720,668544,699040,661707,112670.0,0.0197
45358,668553,660746,679855,656026,77470.0,0.011699999999999999
45357,660804,637947,676049,628487,117910.0,0.0359
45356,637926,682731,690631,601382,207600.0,-0.06559999999999999
45355,682701,631358,684951,627468,13086000000000000,0.08130000000000001
45354,631358,619556,632273,613994,38010.0,0.0184
45353,619945,623977,624463,616219,33800.0,-0.006500000000000001
45352,623977,611573,631473,607909,74960.0,0.020099999999999996
45351,611693,624671,636534,605125,119290.0,-0.0208
45350,624676,570487,639153,567049,173640.0,0.09480000000000001
45349,570562,544911,575552,544640,100480.0,0.047
45348,544951,517227,548991,509252,78050.0,0.0536
45347,517227,515721,519520,512990,23610.0,0.0029
45346,515716,507396,516899,505920,20990.0,0.016399999999999998
45345,507405,513206,515325,505376,43270.0,-0.0113
45344,513204,518502,520158,509473,50270.0,-0.0104
45343,518582,522635,523673,506769,59020.0,-0.0078000000000000005
45342,522635,517831,529368,508018,68100.0,0.009300000000000001
45341,517836,521196,524848,516942,36730.0,-0.0064
45340,521175,516460,523503,511996,26890.0,0.0091
45339,516460,521342,521755,506523,32450000000000000,-0.009399999999999999
45338,521342,519014,525567,516126,52860.0,0.0045000000000000005
45337,519013,518052,528194,513275,74720.0,0.0023
45336,517824,497086,520107,492638,80350.0,0.0416
45335,497160,499410,503266,483983,78510.0,-0.0045000000000000005
45334,499413,482802,502773,477299,81850.0,0.0345
45333,482773,477593,485316,475902,36500.0,0.0109
45332,477582,471280,481490,468750,31200.0,0.0134
45331,471275,452933,481188,452542,98110.0,0.0405
45330,452933,443462,455792,443364,66380.0,0.0215
45329,443398,430884,443679,427835,48570.0,0.0291
45328,430877,426976,433755,425668,33320.0,0.0091
45327,426972,425814,435322,422725,39260.0,0.0027
45326,425814,430062,431132,423794,20330.0,-0.009899999999999999
45325,430057,431947,433704,428820,14570.0,-0.0044
45324,431947,430837,434593,425963,42650.0,0.0026
45323,430814,425801,432631,418905,47690.0,0.0118
45322,425805,429462,437397,423154,56480.0,-0.0085
45321,429462,433033,438179,427029,55130.0,-0.008199999999999999
45320,432998,420314,433056,418247,45230.0,0.0302
45319,420307,421213,428171,416490,32530.0,-0.0021
45318,421209,418115,421918,414130,20460.0,0.0074
45317,418113,399420,422148,398312,69470.0,0.047
45316,399357,400851,402858,395463,46300.0,-0.0037
45315,400860,398913,405352,395100,58640.0,0.0049
45314,398888,395550,401594,385469,82670.0,0.0084
45313,395564,415817,416849,394684,85100.0,-0.0487
45312,415832,416954,418780,415045,16110.0,-0.0027
45311,416954,416476,418580,414495,22270.0,0.0011
45310,416480,412938,421646,403054,72640.0,0.0086
45309,412927,427635,429080,406826,70350.0,-0.0345
45308,427687,431391,431923,422118,50440.0,-0.0087
45307,431455,425152,435637,420931,63930.0,0.0149
45306,425107,417476,433489,417192,52080.0,0.0183
45305,417461,428513,430694,417396,37140.0,-0.0258
45304,428513,428367,432486,424433,48180.0,0.0004
45303,428359,463481,465032,418579,136920.0,-0.0758
45302,463482,466293,489237,456518,13103999999999900,-0.006
45301,466293,461120,476543,444036,131480.0,0.0108
45300,461290,469592,478801,453339,100090.0,-0.0177
45299,469622,439342,471967,432510,103090.0,0.0691
45298,439273,439735,444812,436279,29530.0,-0.0009
45297,439679,441566,442032,434240,24260.0,-0.0043
45296,441569,441630,443121,426290,68070.0,0.0
45295,441570,428361,447445,426328,68050.0,0.0308
45294,428361,449437,454927,408883,117650.0,-0.046900000000000004
45293,449437,441829,458854,441660,97840.0,0.0172
45292,441834,422725,441870,421967,36300.0,0.0452
45291,422725,421416,428788,419714,35580.0,0.0032
45290,421367,420747,425922,415273,35180.0,0.0015
45289,420724,425811,431080,414590,60980.0,-0.011899999999999999
45288,425811,434465,437826,423093,49840.0,-0.0199
45287,434465,425143,436767,421153,50100.0,0.022000000000000002
45286,425133,435799,435949,417966,56030.0,-0.024399999999999998
45285,435785,429820,437927,427453,32670.0,0.0139
45284,429815,437104,439357,427485,30860.0,-0.0167
45283,437104,439689,439946,433257,21290.0,-0.0059
45282,439689,438659,443946,434193,44500.0,0.0023
45281,438659,436603,442418,433102,48960.0,0.004699999999999999
45280,436628,422595,442787,422172,70190.0,0.0332
45279,422593,426597,434733,418427,55290.0,-0.009399999999999999
45278,426597,413691,427280,405540,61580.0,0.031200000000000002
45277,413687,422717,424132,412769,35460.0,-0.021400000000000002
45276,422717,419290,426903,416982,30110.0,0.008199999999999999
45275,419290,430252,430807,416979,45280.0,-0.0255
45274,430259,428863,433927,415912,59150.0,0.0033
45273,428845,414870,434175,406493,63110.0,0.0337
45272,414870,412561,420709,406915,57040.0,0.005600000000000001
45271,412561,437910,438063,402771,105190.0,-0.0579
45270,437910,437166,440454,435768,23810.0,0.0017000000000000001
45269,437184,441755,443612,436174,31670.0,-0.0103
45268,441755,432883,446976,431084,58440.0,0.020499999999999997
45267,432897,437744,440464,428605,63090.0,-0.0111
45266,437763,440762,442837,434667,72520.0,-0.0068000000000000005
45265,440762,419896,444241,414249,96840.0,0.049699999999999994
45264,419878,399686,423944,399686,104210.0,0.050499999999999996
45263,399702,394568,401789,392803,35270.0,0.013000000000000001
45262,394584,386882,396734,386465,37090.0,0.0199
45261,386882,377129,389508,376183,62500.0,0.0259
45260,377129,378576,381444,375092,33530.0,-0.0038
45259,378555,378233,383629,376076,49340.0,0.0009
45258,378233,372443,383794,368811,57500.0,0.0154
45257,372486,374518,375633,367515,45240.0,-0.0054
45256,374518,377864,378191,371663,29200.0,-0.0089
45255,377870,377186,378874,375999,16090.0,0.0018
45254,377173,372950,384008,372574,65830.0,0.011399999999999999
45253,372931,374108,376425,369153,32350.0,-0.0031
45252,374108,357975,378625,356956,64810.0,0.0446
45251,358136,374527,376312,357992,71070.0,-0.0438
45250,374541,373566,377356,368576,51800.0,0.0027
45249,373542,365686,375046,363933,26140.0,0.0215
45248,365686,366175,368452,362206,20880.0,-0.0007000000000000001
45247,365954,361618,366906,358752,51370.0,0.012
45246,361612,378739,379076,355616,66920.0,-0.0452
45245,378749,355493,379541,353796,75510.0,0.0654
45244,355493,364783,367445,349843,63560.0,-0.0255
45243,364783,370678,374046,363584,44550.0,-0.0158
45242,370644,371490,372153,367619,21450.0,-0.0023
45241,371505,373063,374013,367676,29530.0,-0.0040999999999999995
45240,373030,367005,374961,363472,59560.0,0.016399999999999998
45239,367005,356369,379420,355781,115560.0,0.0298
45238,356369,354262,360502,351488,46330.0,0.006
45237,354261,350421,358779,345369,53490.0,0.011000000000000001
45236,350420,350203,352756,347429,29810.0,0.0006
45235,350194,350658,353602,345500,31020.0,-0.0013
45234,350658,347186,352422,346011,23800.0,0.01
45233,347187,349314,349406,341242,54540.0,-0.0060999999999999995
45232,349314,354238,359076,343574,63660.0,-0.0139
45231,354238,346483,355575,341387,71660.0,0.0223
45230,346506,344789,347046,340539,43400.0,0.005
45229,344779,345267,348533,340895,45200.0,-0.0014000000000000002
45228,345267,340826,347379,339376,27720.0,0.013000000000000001
45227,340826,339016,343878,338673,22000.0,0.0053
45226,339018,341537,342458,334236,47330.0,-0.0074
45225,341537,344976,348260,337499,56620.0,-0.009899999999999999
45224,344968,339170,351239,337134,75810.0,0.0171
45223,339170,330373,351914,328665,159080.0,0.0265
45222,330418,299842,343756,298914,133460.0,0.102
45221,299842,299127,301934,297136,29070.0,0.0024
45220,299129,296747,302648,294691,34680.0,0.008
45219,296745,287240,301659,285861,82680.0,0.0331
45218,287230,283218,288838,281702,50100.0,0.014199999999999999
45217,283217,284052,288760,281690,45010.0,-0.0029
45216,284036,285083,286085,280969,53420.0,-0.0037
45215,285097,271612,299695,271197,119180.0,0.0496
45214,271612,268528,272869,268126,21950.0,0.0115
45213,268528,268635,269757,268051,13560.0,-0.0004
45212,268635,267611,271148,266829,33660.0,0.0038
45211,267611,268782,269428,265653,32750.0,-0.0043
45210,268766,273919,274759,265584,55780.0,-0.018799999999999997
45209,273910,275815,277281,273001,34320.0,-0.0069
45208,275814,279227,279864,272795,44810.0,-0.012199999999999999
45207,279227,279611,280975,277144,24110.0,-0.0014000000000000002
45206,279611,279355,280213,278590,17290.0,0.0009
45205,279369,274103,282236,271957,52510.0,0.0192
45204,274103,277835,280891,273717,46260.0,-0.0137
45203,277909,274287,278327,272425,40930.0,0.0132
45202,274284,275016,276708,271941,44060.0,-0.0028000000000000004
45201,275053,279746,285566,273252,84300.0,-0.0168
45200,279745,269625,280384,269557,35110.0,0.0375
45199,269627,269081,270857,268875,17550.0,0.002
45198,269098,270226,272295,267288,42240.0,-0.0042
45197,270226,263682,272836,263394,64560.0,0.024900000000000002
45196,263661,262189,268369,261091,50800.0,0.005600000000000001
45195,262189,263031,263962,260934,26410.0,-0.0032
45194,263027,262516,264236,260136,38200.0,0.002
45193,262515,265790,267276,261622,22320.0,-0.0123
45192,265792,265817,266362,265175,12920.0,-0.0001
45191,265819,265695,267364,264885,28790.0,0.0004
45190,265700,271252,271556,263823,47810.0,-0.020499999999999997
45189,271250,272092,273786,268518,47230.0,-0.0031
45188,272092,267590,274807,266722,52170.0,0.0167
45187,267635,265303,274133,264052,63350.0,0.0088
45186,265291,265620,266144,264087,16570.0,-0.0012
45185,265620,265999,267690,264635,18450.0,-0.0015
45184,266010,265233,268374,262331,36470.0,0.0029
45183,265247,262230,267603,261486,53820.0,0.0115
45182,262230,258361,263823,257669,42580.0,0.015
45181,258345,251664,264726,251335,78710.0,0.0265
45180,251664,258402,258974,249231,56320.0,-0.026099999999999998
45179,258402,259011,259951,256267,23600.0,-0.0024
45178,259011,259095,259385,258143,13480.0,-0.0003
45177,259095,262485,264154,257016,41010.0,-0.013000000000000001
45176,262498,257580,264177,256265,39770.0,0.0191
45175,257580,257901,260184,254117,37780.0,-0.0013
45174,257902,258244,258640,255963,28400.0,-0.0013
45173,258233,259710,260942,256609,27130.0,-0.005699999999999999
45172,259710,258697,260904,258166,21360.0,0.0039000000000000003
45171,258697,258035,259774,257527,21240.0,0.0026
45170,258032,259383,261449,253619,58080.0,-0.0052
45169,259373,273006,274645,257310,69110.0,-0.0499
45168,272988,277239,277573,270432,46540.0,-0.015300000000000001
45167,277239,261181,280460,259198,98320.0,0.061399999999999996
45166,261189,261006,262157,258910,28840.0,0.0007000000000000001
45165,261006,260171,261768,259687,14290.0,0.0032
45164,260171,260572,261141,259935,12090.0,-0.0015
45163,260572,261761,262657,258116,39960.0,-0.0046
45162,261770,264362,265605,259436,41040.0,-0.0098
45161,264362,260420,268077,258126,60960.0,0.0152
45160,260399,261268,261388,254819,47720.0,-0.0033
45159,261260,261908,262209,258508,41100.0,-0.0025
45158,261908,260995,262691,259985,24000.0,0.0034999999999999996
45157,260994,260533,262622,257995,33040.0,0.0018
45156,260532,266357,268019,256910,93050.0,-0.0219
45155,266357,287261,287718,254894,132920.0,-0.0728
45154,287263,291953,292511,287176,43710.0,-0.0161
45153,291953,294267,294720,291186,33810.0,-0.0079
45152,294267,293001,296890,291160,39300.0,0.0043
45151,293001,294282,294685,292723,13490.0,-0.0044
45150,294282,294208,294808,293754,11070.0,0.0002
45149,294208,294489,295449,292712,27710.0,-0.001
45148,294490,295780,297194,293775,32000.0,-0.0044
45147,295780,297713,301040,293842,49670.0,-0.0067
45146,297774,292042,301686,291377,62570.0,0.0196
45145,292042,290813,292702,287210,41190.0,0.0042
45144,290813,290679,291989,289874,16030000000000000,0.0005
45143,290681,291056,291393,289830,14550.0,-0.0013
45142,291055,291891,293191,288758,31430.0,-0.0029
45141,291893,291809,294098,289810,36080.0,0.0005
45140,291737,297118,300259,289616,67410.0,-0.0181
45139,297122,292323,297122,286110,6401000000000000,0.016399999999999998
45138,292324,292820,295023,291283,31840.0,-0.0017000000000000001
45137,292817,293542,294466,290545,20580.0,-0.0024
45136,293535,293150,294001,292569,13900.0,0.0013
45135,293150,292227,295330,291251,31420.0,0.0032
45134,292227,293529,295688,290940,30420.0,-0.0044
45133,293522,292288,296818,291097,44330.0,0.0042
45132,292286,291783,293654,290587,29050.0,0.0017000000000000001
45131,291781,300859,300982,288907,55730.0,-0.0302
45130,300859,297889,303370,297357,23320.0,0.01
45129,297889,299045,299880,296573,18470.0,-0.0038
45128,299031,298010,300589,297399,32590000000000000,0.0034000000000000002
45127,298010,299097,304080,296214,50330.0,-0.0036
45126,299097,298667,301855,297893,34960.0,0.0014000000000000002
45125,298668,301397,302424,296246,42400.0,-0.0091
45124,301397,302355,303359,296933,42840.0,-0.0032
45123,302355,302918,304350,300754,20310.0,-0.0018
45122,302914,303168,303954,302469,17060.0,-0.0009
45121,303174,314654,316026,299443,82420.0,-0.0365
45120,314661,303873,317645,302600,99810.0,0.0355
45119,303873,306233,309513,302317,54060.0,-0.0077
45118,306233,304142,307822,303338,39840.0,0.0068000000000000005
45117,304153,301669,310196,299691,55240.0,0.008199999999999999
45116,301669,302888,304255,300719,20050.0,-0.004
45115,302888,303468,303799,300559,17410.0,-0.0019
45114,303464,299127,304420,297574,46420.0,0.014499999999999999
45113,299131,305128,314636,298690,90810.0,-0.0197
45112,305128,307686,308756,302333,43230.0,-0.0083
45111,307684,311520,313265,306578,42120.0,-0.0123
45110,311513,306175,313770,305815,56490.0,0.0174
45109,306177,305871,307690,302279,28820.0,0.001
45108,305868,304729,306499,303290,22460.0,0.0037
45107,304729,304457,312755,297145,118650.0,0.0009
45106,304457,300773,308231,300513,49570.0,0.012199999999999999
45105,300786,306919,307034,299195,51060.0,-0.0199
45104,306891,302670,309937,302313,55820.0,0.0139
45103,302670,304663,306459,299863,58710.0,-0.006500000000000001
45102,304653,305336,310402,303158,37120.0,-0.0022
45101,305336,306807,307953,302694,38150.0,-0.0048
45100,306794,298902,313954,298226,98850.0,0.0264
45099,298905,299928,304978,295904,79220.0,-0.0034999999999999996
45098,299969,283077,307695,282705,143490.0,0.059699999999999996
45097,283077,268459,283930,266655,100550.0,0.054400000000000004
45096,268459,263397,270297,262951,46450.0,0.0192
45095,263397,265150,266793,262906,27310.0,-0.0066
45094,265150,263413,267673,261835,35860.0,0.0066
45093,263413,255919,264728,252760,69240.0,0.029300000000000003
45092,255913,251295,257328,248380,68380.0,0.0184
45091,251295,259290,260517,248474,60820.0,-0.0308
45090,259294,259069,264289,257264,56240.0,0.0009
45089,259068,259279,260807,256350,40750.0,-0.0008
45088,259284,258433,261901,256608,39200.0,0.0033
45087,258440,264793,265251,254683,83570.0,-0.024
45086,264793,265011,267739,263267,38960.0,-0.0008
45085,265011,263418,267844,262313,39950.0,0.006
45084,263425,272302,273420,261410,77480.0,-0.0326
45083,272302,257456,273252,254256,88610.0,0.0576
45082,257474,271223,271255,254375,85420.0,-0.0507
45081,271223,270709,274102,269561,23810.0,0.0019
45080,270720,272460,273175,269314,20620.0,-0.0063
45079,272447,268190,272994,265413,49370.0,0.0159
45078,268190,272164,273409,266623,51980.0,-0.0146
45077,272161,276969,278250,268651,63080.0,-0.0174
45076,276982,277389,280336,275838,45190.0,-0.0015
45075,277394,280684,284312,275488,54560.0,-0.0118
45074,280712,268553,281819,267885,55230.0,0.0452
45073,268575,267112,268829,265912,18680.0,0.0055000000000000005
45072,267115,264755,269116,263300,45880.0,0.0089
45071,264758,263271,265892,258925,50170.0,0.005600000000000001
45070,263284,272207,272207,260887,72650.0,-0.032799999999999996
45069,272207,268516,274481,268041,50890.0,0.0139
45068,268473,267499,270489,265461,35560.0,0.0036
45067,267499,271162,272571,266776,27420.0,-0.013500000000000002
45066,271162,268830,271472,268313,17720.0,0.0087
45065,268829,268282,271547,267113,36670.0,0.002
45064,268280,274038,274670,264498,63390.0,-0.021
45063,274031,270355,274653,265977,58140.0,0.013600000000000001
45062,270353,271839,272953,268819,45290.0,-0.0055000000000000005
45061,271839,269204,276517,267521,53270.0,0.0098
45060,269200,267774,271761,266099,26350.0,0.0053
45059,267775,267987,270119,266956,27950.0,-0.0008
45058,267992,269831,270440,258531,87490.0,-0.0068000000000000005
45057,269835,276043,276074,267662,62850.0,-0.0225
45056,276033,276343,283117,268857,91450.0,-0.0011
45055,276349,276705,278160,273663,49750.0,-0.0013
45054,276705,284248,286278,272803,85720.0,-0.0265
45053,284248,288571,291220,284196,36500.0,-0.015
45052,288571,295128,298164,284149,58940.0,-0.0222
45051,295132,288422,296539,288253,74520.0,0.0233
45050,288421,290236,293527,286874,53800.0,-0.0063
45049,290236,286691,292447,281644,81220.0,0.0124
45048,286691,280790,288774,279132,65330.0,0.021099999999999997
45047,280776,292521,293296,276859,84360.0,-0.04019999999999999
45046,292521,292351,299413,290950,47620.0,0.0006
45045,292341,293184,294255,290585,25720.0,-0.003
45044,293218,294759,295872,289278,69880.0,-0.0052
45043,294759,284245,298598,283924,121630.0,0.037000000000000005
45042,284246,282988,299957,273078,164310.0,0.0044
45041,282988,275101,283756,272011,65310.0,0.0287
45040,275093,275914,279788,270543,66740.0,-0.003
45039,275914,278138,278150,273885,41770.0,-0.008
45038,278139,272648,278720,271657,44300.0,0.020099999999999996
45037,272648,282405,283534,271711,98720.0,-0.0346
45036,282405,288137,290821,280324,95450.0,-0.0199
45035,288137,303822,304084,286411,111270.0,-0.0516
45034,303822,294341,304701,291492,76580.0,0.0322
45033,294349,303108,303122,292740,71900.0,-0.028900000000000002
45032,303103,302992,305453,301346,34480.0,0.0004
45031,302996,304726,305865,302088,31710.0,-0.005699999999999999
45030,304725,303874,309649,300260,98380.0,0.0028000000000000004
45029,303874,298924,305241,298645,65870.0,0.0168
45028,298864,302098,304730,296795,78690.0,-0.010700000000000001
45027,302096,296410,304846,295978,89380.0,0.0192
45026,296410,283265,297554,281829,85730.0,0.0464
45025,283266,279412,285227,278092,39350.0,0.0138
45024,279412,279104,281531,278638,23730.0,0.0011
45023,279104,280376,281025,277794,30940.0,-0.0045000000000000005
45022,280367,281735,281735,277345,51290.0,-0.0049
45021,281735,281644,287444,278235,77320.0,0.0003
45020,281644,278022,284291,276689,64060.0,0.013000000000000001
45019,278021,281947,284584,272569,98000.0,-0.0141
45018,281983,284561,285228,278717,45040.0,-0.0091
45017,284561,284737,287951,282856,38090.0,-0.0006
45016,284737,280293,286463,275875,98440.0,0.0158
45015,280295,283503,291604,277167,122510.0,-0.0113
45014,283504,272629,286274,272498,109320.0,0.039900000000000005
45013,272622,271278,274650,266656,94160.0,0.0049
45012,271298,279748,280233,266115,107240.0,-0.0302
45011,279735,274749,281537,274291,60640.0,0.0181
45010,274756,274622,277619,271767,61360.0,0.0005
