Date;Price;Open;High;Low;Vol;Change
45204;274103;277835;280891;273717;46.26;-1.37%
45203;277909;274287;278327;272425;40.93;1.32%
45202;274284;275016;276708;271941;44.06;-0.28%
45201;275053;279746;285566;273252;84.30;-1.68%
45200;279745;269625;280384;269557;35.11;3.75%
45199;269627;269081;270857;268875;17.55;0.20%
45198;269098;270226;272295;267288;42.24;-0.42%
45197;270226;263682;272836;263394;64.56;2.49%
45196;263661;262189;268369;261091;50.80;0.56%
45195;262189;263031;263962;260934;26.41;-0.32%
45194;263027;262516;264236;260136;38.20;0.20%
45193;262515;265790;267276;261622;22.32;-1.23%
45192;265792;265817;266362;265175;12.92;-0.01%
45191;265819;265695;267364;264885;28.79;0.04%
45190;265700;271252;271556;263823;47.81;-2.05%
45189;271250;272092;273786;268518;47.23;-0.31%
45188;272092;267590;274807;266722;52.17;1.67%
45187;267635;265303;274133;264052;63.35;0.88%
45186;265291;265620;266144;264087;16.57;-0.12%
45185;265620;265999;267690;264635;18.45;-0.15%
45184;266010;265233;268374;262331;36.47;0.29%
45183;265247;262230;267603;261486;53.82;1.15%
45182;262230;258361;263823;257669;42.58;1.50%
45181;258345;251664;264726;251335;78.71;2.65%
45180;251664;258402;258974;249231;56.32;-2.61%
45179;258402;259011;259951;256267;23.60;-0.24%
45178;259011;259095;259385;258143;13.48;-0.03%
45177;259095;262485;264154;257016;41.01;-1.30%
45176;262498;257580;264177;256265;39.77;1.91%
45175;257580;257901;260184;254117;37.78;-0.13%
45174;257902;258244;258640;255963;28.40;-0.13%
45173;258233;259710;260942;256609;27.13;-0.57%
45172;259710;258697;260904;258166;21.36;0.39%
45171;258697;258035;259774;257527;21.24;0.26%
45170;258032;259383;261449;253619;58.08;-0.52%
45169;259373;273006;274645;257310;69.11;-4.99%
45168;272988;277239;277573;270432;46.54;-1.53%
45167;277239;261181;280460;259198;98.32;6.14%
45166;261189;261006;262157;258910;28.84;0.07%
45165;261006;260171;261768;259687;14.29;0.32%
45164;260171;260572;261141;259935;12.09;-0.15%
45163;260572;261761;262657;258116;39.96;-0.46%
45162;261770;264362;265605;259436;41.04;-0.98%
45161;264362;260420;268077;258126;60.96;1.52%
45160;260399;261268;261388;254819;47.72;-0.33%
45159;261260;261908;262209;258508;41.10;-0.25%
45158;261908;260995;262691;259985;24.00;0.35%
45157;260994;260533;262622;257995;33.04;0.18%
45156;260532;266357;268019;256910;93.05;-2.19%
45155;266357;287261;287718;254894;132.92;-7.28%
45154;287263;291953;292511;287176;43.71;-1.61%
45153;291953;294267;294720;291186;33.81;-0.79%
45152;294267;293001;296890;291160;39.30;0.43%
45151;293001;294282;294685;292723;13.49;-0.44%
45150;294282;294208;294808;293754;11.07;0.02%
45149;294208;294489;295449;292712;27.71;-0.10%
45148;294490;295780;297194;293775;32.00;-0.44%
45147;295780;297713;301040;293842;49.67;-0.67%
45146;297774;292042;301686;291377;62.57;1.96%
45145;292042;290813;292702;287210;41.19;0.42%
45144;290813;290679;291989;289874;16.03;0.05%
45143;290681;291056;291393;289830;14.55;-0.13%
45142;291055;291891;293191;288758;31.43;-0.29%
45141;291893;291809;294098;289810;36.08;0.05%
45140;291737;297118;300259;289616;67.41;-1.81%
45139;297122;292323;297122;286110;64.01;1.64%
45138;292324;292820;295023;291283;31.84;-0.17%
45137;292817;293542;294466;290545;20.58;-0.24%
45136;293535;293150;294001;292569;13.90;0.13%
45135;293150;292227;295330;291251;31.42;0.32%
45134;292227;293529;295688;290940;30.42;-0.44%
45133;293522;292288;296818;291097;44.33;0.42%
45132;292286;291783;293654;290587;29.05;0.17%
45131;291781;300859;300982;288907;55.73;-3.02%
45130;300859;297889;303370;297357;23.32;1.00%
45129;297889;299045;299880;296573;18.47;-0.38%
