Date,Price,Open,High,Low,Vol.,Change %
45308,427687,431391,431923,422118,50.44K,-0.87%
45307,431455,425152,435637,420931,63.93K,1.49%
45306,425107,417476,433489,417192,52.08K,1.83%
45305,417461,428513,430694,417396,37.14K,-2.58%
45304,428513,428367,432486,424433,48.18K,0.04%
45303,428359,463481,465032,418579,136.92K,-7.58%
45302,463482,466293,489237,456518,131.04K,-0.60%
45301,466293,46112,476543,444036,131.48K,1.08%
45300,46129,469592,478801,453339,100.09K,-1.77%
45299,469622,439342,471967,43251,103.09K,6.91%
45298,439273,439735,444812,436279,29.53K,-0.09%
45297,439679,441566,442032,43424,24.26K,-0.43%
45296,441569,44163,443121,42629,68.07K,0.00%
45295,44157,428361,447445,426328,68.05K,3.08%
45294,428361,449437,454927,408883,117.65K,-4.69%
45293,449437,441829,458854,44166,97.84K,1.72%
45292,441834,422725,44187,421967,36.30K,4.52%
45291,422725,421416,428788,419714,35.58K,0.32%
45290,421367,420747,425922,415273,35.18K,0.15%
45289,420724,425811,43108,41459,60.98K,-1.19%
45288,425811,434465,437826,423093,49.84K,-1.99%
45287,434465,425143,436767,421153,50.10K,2.20%
45286,425133,435799,435949,417966,56.03K,-2.44%
45285,435785,42982,437927,427453,32.67K,1.39%
45284,429815,437104,439357,427485,30.86K,-1.67%
45283,437104,439689,439946,433257,21.29K,-0.59%
45282,439689,438659,443946,434193,44.50K,0.23%
45281,438659,436603,442418,433102,48.96K,0.47%
45280,436628,422595,442787,422172,70.19K,3.32%
45279,422593,426597,434733,418427,55.29K,-0.94%
45278,426597,413691,42728,40554,61.58K,3.12%
45277,413687,422717,424132,412769,35.46K,-2.14%
45276,422717,41929,426903,416982,30.11K,0.82%
45275,41929,430252,430807,416979,45.28K,-2.55%
45274,430259,428863,433927,415912,59.15K,0.33%
45273,428845,41487,434175,406493,63.11K,3.37%
45272,41487,412561,420709,406915,57.04K,0.56%
45271,412561,43791,438063,402771,105.19K,-5.79%
45270,43791,437166,440454,435768,23.81K,0.17%
45269,437184,441755,443612,436174,31.67K,-1.03%
45268,441755,432883,446976,431084,58.44K,2.05%
45267,432897,437744,440464,428605,63.09K,-1.11%
45266,437763,440762,442837,434667,72.52K,-0.68%
45265,440762,419896,444241,414249,96.84K,4.97%
45264,419878,399686,423944,399686,104.21K,5.05%
45263,399702,394568,401789,392803,35.27K,1.30%
45262,394584,386882,396734,386465,37.09K,1.99%
45261,386882,377129,389508,376183,62.50K,2.59%
45260,377129,378576,381444,375092,33.53K,-0.38%
45259,378555,378233,383629,376076,49.34K,0.09%
45258,378233,372443,383794,368811,57.50K,1.54%
45257,372486,374518,375633,367515,45.24K,-0.54%
45256,374518,377864,378191,371663,29.20K,-0.89%
45255,37787,377186,378874,375999,16.09K,0.18%
45254,377173,37295,384008,372574,65.83K,1.14%
45253,372931,374108,376425,369153,32.35K,-0.31%
45252,374108,357975,378625,356956,64.81K,4.46%
45251,358136,374527,376312,357992,71.07K,-4.38%
45250,374541,373566,377356,368576,51.80K,0.27%
45249,373542,365686,375046,363933,26.14K,2.15%
45248,365686,366175,368452,362206,20.88K,-0.07%
